Date,Item_Code,Wholesale_Price
29/06/2023,1.03E+14,15.6
29/06/2023,1.03E+14,2.37
29/06/2023,1.03E+14,5.68
29/06/2023,1.03E+14,2.16
29/06/2023,1.03E+14,4.08
29/06/2023,1.03E+14,3.07
29/06/2023,1.03E+14,2.71
29/06/2023,1.03E+14,11.4
29/06/2023,1.03E+14,3.8
29/06/2023,1.03E+14,3.98
29/06/2023,1.03E+14,3.99
29/06/2023,1.03E+14,7.42
29/06/2023,1.03E+14,5.41
29/06/2023,1.03E+14,10.6
29/06/2023,1.03E+14,8.92
29/06/2023,1.03E+14,11.71
29/06/2023,1.03E+14,4.6
29/06/2023,1.03E+14,2.6
29/06/2023,1.03E+14,5.52
29/06/2023,1.03E+14,8.95
29/06/2023,1.03E+14,9.15
29/06/2023,1.03E+14,5.48
29/06/2023,1.03E+14,2.59
29/06/2023,1.03E+14,3.57
29/06/2023,1.03E+14,3.59
29/06/2023,1.03E+14,16.06
29/06/2023,1.03E+14,7.06
29/06/2023,1.03E+14,2.6
29/06/2023,1.03E+14,3.81
29/06/2023,1.03E+14,2.86
29/06/2023,1.03E+14,4.2
29/06/2023,1.03E+14,2.25
29/06/2023,1.03E+14,2.63
29/06/2023,1.03E+14,1.67
29/06/2023,1.03E+14,3.87
29/06/2023,1.03E+14,12.13
29/06/2023,1.03E+14,13.67
29/06/2023,1.03E+14,2.29
29/06/2023,1.03E+14,4.34
29/06/2023,1.03E+14,9.2
29/06/2023,1.03E+14,3.41
29/06/2023,1.03E+14,2.95
29/06/2023,1.03E+14,12.8
29/06/2023,1.03E+14,1.71
29/06/2023,1.03E+14,3.2
29/06/2023,1.03E+14,18
29/06/2023,1.03E+14,6.47
29/06/2023,1.03E+14,4.67
29/06/2023,1.07E+14,1.46
29/06/2023,1.07E+14,1.95
